행정구,행정동,구역명,zoneNaturalKey,표본건수,예상초투_min(억),예상초투_max(억),예상초투_범위,P_min(억),P_max(억),P_범위,매매가_min(억),매매가_max(억),매매가_범위,기존_최소실투자금(억),기존_최대실투자금(억),기존_최소프리미엄,기존_최대프리미엄,기존_매매가,실투대비_이상,polygon안_건수,articleNos,승인,검수상태,검수메모,승인일,generatedAt,sourceMode,note
송파구,마천동,마천 1구역,송파구|마천동|마천 1구역,5,9.2,11,9.2~11억,,,,11,13,11~13억,7,8.3,,,,HIGH,4,2643867268|2642192222|2643184258|2643482936|2643984932,,pending,,,2026-08-22,260822b(polygon_repair + membership_filters v2),"매매가_범위는 참고만 — Golden 매매가(G) 자동 반영 금지. 예상초투→실투자금, P→프리미엄 후보."
송파구,마천동,마천 3구역,송파구|마천동|마천 3구역,5,10.6,11.5,10.6~11.5억,,,,11,13.2,11~13.2억,9,9.7,,,,HIGH,5,2644565364|2644621575|2640121923|2640575963|2642557312,,pending,,,2026-08-22,260822b(polygon_repair + membership_filters v2),"매매가_범위는 참고만 — Golden 매매가(G) 자동 반영 금지. 예상초투→실투자금, P→프리미엄 후보."
용산구,이촌동,이촌1구역(재건축),용산구|이촌동|이촌1구역(재건축),5,12,14.2,12~14.2억,,,,12,14.2,12~14.2억,11.5,13,,,13.5~14,OK,5,2644230578|2644020032|2642404940|2640986556|2644019907,,pending,,,2026-08-22,260822b(polygon_repair + membership_filters v2),"매매가_범위는 참고만 — Golden 매매가(G) 자동 반영 금지. 예상초투→실투자금, P→프리미엄 후보."
용산구,청파동,서계통합,용산구|청파동|서계통합,5,6,9.8,6~9.8억,,,,7,9.8,7~9.8억,6.7,,,,7.9~8,HIGH,5,2641919549|2644257640|2643455166|2642340081|2642680709,,pending,,,2026-08-22,260822b(polygon_repair + membership_filters v2),"매매가_범위는 참고만 — Golden 매매가(G) 자동 반영 금지. 예상초투→실투자금, P→프리미엄 후보."
용산구,청파동,청파 1구역,용산구|청파동|청파 1구역,5,7.5,20,7.5~20억,,,,7.5,20,7.5~20억,11.7,12.5,,,14~16,HIGH,4,2640317303|2640284721|2644130300|2642892247|2644874255,,pending,,,2026-08-22,260822b(polygon_repair + membership_filters v2),"매매가_범위는 참고만 — Golden 매매가(G) 자동 반영 금지. 예상초투→실투자금, P→프리미엄 후보."
용산구,청파동,청파 2구역,용산구|청파동|청파 2구역,5,3.8,8.1,3.8~8.1억,,,,4.5,8.1,4.5~8.1억,5.5,7.9,,,6.5~8,OK,5,2640962630|2644575653|2643982770|2643463733|2641168741,,pending,,,2026-08-22,260822b(polygon_repair + membership_filters v2),"매매가_범위는 참고만 — Golden 매매가(G) 자동 반영 금지. 예상초투→실투자금, P→프리미엄 후보."
용산구,후암동,후암1구역(재건축),용산구|후암동|후암1구역(재건축),5,14.5,75,14.5~75억,,,,14.5,75,14.5~75억,13.3,,,,16,HIGH,5,2643306253|2641833544|2640114394|2641843936|2643274416,,pending,,,2026-08-22,260822b(polygon_repair + membership_filters v2),"매매가_범위는 참고만 — Golden 매매가(G) 자동 반영 금지. 예상초투→실투자금, P→프리미엄 후보."
중구,신당동,신당 10구역,중구|신당동|신당 10구역,5,12,19,12~19억,,,,12,19,12~19억,11,12,,,,HIGH,5,2643160248|2639603902|2643310060|2643309876|2642886339,,pending,,,2026-08-22,260822b(polygon_repair + membership_filters v2),"매매가_범위는 참고만 — Golden 매매가(G) 자동 반영 금지. 예상초투→실투자금, P→프리미엄 후보."
중랑구,중화동,중화 6구역,중랑구|중화동|중화 6구역,5,2,9.7,2~9.7억,,,,3.5,10,3.5~10억,1.5,2,,,,HIGH,4,2643793415|2640723729|2641708969|2643866553|2642430379,,pending,,,2026-08-22,260822b(polygon_repair + membership_filters v2),"매매가_범위는 참고만 — Golden 매매가(G) 자동 반영 금지. 예상초투→실투자금, P→프리미엄 후보."
구리시,수택동,수택 2구역,구리시|수택동|수택 2구역,5,2.4,2.9,2.4~2.9억,,,,3.1,3.9,3.1~3.9억,2.6,3,,,,HIGH,5,2640929847|2642094187|2642285476|2642088577|2643494672,,pending,,,2026-08-22,260822b(polygon_repair + membership_filters v2),"매매가_범위는 참고만 — Golden 매매가(G) 자동 반영 금지. 예상초투→실투자금, P→프리미엄 후보."
성남시 수정구,수진동,수진 1구역,성남시 수정구|수진동|수진 1구역,5,6.9,7.58,6.9~7.58억,4,4,4억,8.29,9.5,8.29~9.5억,6.5,7,,,,HIGH,4,2640249464|2639613187|2640341873|2644338375|2639788828,,pending,,,2026-08-22,260822b(polygon_repair + membership_filters v2),"매매가_범위는 참고만 — Golden 매매가(G) 자동 반영 금지. 예상초투→실투자금, P→프리미엄 후보."
성남시 수정구,신흥동,신흥 1구역,성남시 수정구|신흥동|신흥 1구역,5,7,7.6,7~7.6억,4,4,4억,7.3,8.3,7.3~8.3억,5.6,7,,,,OK,4,2644296069|2644285694|2642257811|2642346594|2644261471,,pending,,,2026-08-22,260822b(polygon_repair + membership_filters v2),"매매가_범위는 참고만 — Golden 매매가(G) 자동 반영 금지. 예상초투→실투자금, P→프리미엄 후보."
성남시 수정구,신흥동,신흥 3구역,성남시 수정구|신흥동|신흥 3구역,5,5.6,7.3,5.6~7.3억,4.7,4.7,4.7억,7.5,8.6,7.5~8.6억,5.1,7,,,,HIGH,5,2641675592|2642556880|2640981343|2644956048|2643970704,,pending,,,2026-08-22,260822b(polygon_repair + membership_filters v2),"매매가_범위는 참고만 — Golden 매매가(G) 자동 반영 금지. 예상초투→실투자금, P→프리미엄 후보."
