행정구,행정동,구역명,현재 단계,매매가,최소 실투자금(억),최대 실투자금(억),특징/호재,비교 기축 아파트,기축 아파트 시세(억)
성북구,장위동,장위 15구역,시공사 선정,,4.5,6,22년 3월 28일 조합설립인가,서울원아이파크  (분양권),17.73
성북구,장위동,장위 13-1구역,신속통합기획 완료,,1.6,2,"장위뉴타운, 초기단계",서울원아이파크  (분양권),17.73
성북구,장위동,장위 13-2구역,신속통합기획 완료,,1.8,2,"장위뉴타운, 초기단계",서울원아이파크  (분양권),17.73
구리시,수택동,수택 2구역,조합설립인가,,2.6,3,24년 6년 19일 조합설립인가,e편한세상인창어반포레,13.5
중랑구,중화동,중화 6구역,정비구역지정,,1.5,2,7호선 중화역,사가정센트럴아이파크,14.95
양천구,신정동,신정 1구역,신속통합기획 대상지 선정,,3,3.5,"25년 4월 28일 대상지 선정, 신정 4동 922",목동힐스테이트,21.3
성남시 수정구,신흥동,신흥 1구역,사업시행인가,,5.6,7,25년 12월 29일 사업시행인가,산성역 헤리스톤  (분양권),15.73
성남시 수정구,수진동,수진 1구역,사업시행인가,,6.5,7,26년 관리처분인가 예정,산성역 헤리스톤  (분양권),15.73
성남시 수정구,신흥동,신흥 3구역,시공사 선정,,5.1,7,25년 10월 시공사 선정,산성역 헤리스톤  (분양권),15.73
송파구,마천동,마천 3구역,사업시행인가,,9,9.7,26년 4월 2일 사업시행인가,송파시그니처롯데캐슬,22.3
송파구,마천동,마천 1구역,조합설립인가,,7,8.3,22년 5월 25일 조합설립인가,송파시그니처롯데캐슬,22.3
서대문구,북아현동,북아현 2구역,관리처분인가,,14.3,16,,마포프레스티지자이,29.6
서대문구,북아현동,북아현 3구역,사업시행인가,,10.5,11.5,,마포프레스티지자이,29.6
중구,신당동,신당 10구역,시공사 선정,,11,12,"9억 원룸 매물도 있음, 23년 12월 27일 조합설립인가",옥수파크힐스,27.5
